Nom,@X
Agnès Pannier-Runacher,@AgnesRunacher
Amélie de Montchalin,@AdeMontchalin
Annie Genevard,@AnnieGenevard
Astrid Panosyan-Bouvet,@AstridPanosyan
Aurore Bergé,@auroreberge
Benjamin Haddad,@benjaminhaddad
Bruno Retailleau,@BrunoRetailleau
Catherine Vautrin,@CaVautrin
Charlotte Parmentier-Lecocq,@lecocqcharlotte
Clara Chappaz,@ClaraChappaz
Élisabeth Borne,@Elisabeth_Borne
Éric Lombard,@Eric_R_Lombard
François Bayrou,@bayrou
François Rebsamen,@frebsamen
François-Noël Buffet,@fnb_officiel
Françoise Gatel,@FrancoiseGatel
Gérald Darmanin,@GDarmanin
Jean-Noël Barrot,@jnbarrot
Juliette Méadel,@juliettemeadel
Laurent Marcangeli,@LMarcangeli
Laurent Saint-Martin,@LaurentSMartin
Manuel Valls,?
Marc Ferracci,@FerracciMarc
Marie Barsacq,@MarieBarsacq
Nathalie Delattre,@n_delattre
Patricia Mirallès,@MIRALLESMP
Patrick Mignola,@PatrickMignola
Philippe Baptiste,@PhBaptiste
Philippe Tabarot,@PhilippeTabarot
Rachida Dati,@datirachida
Sébastien Lecornu,@SebLecornu
Sophie Primas,@sophieprimas
Thani Mohamed Soilihi,@TMohamedSoilihi
Valérie Létard,@valerieletard_
Véronique Louwagie,@VeroLouwagie
Yannick Neuder,@yannickneuder
